Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
SelectMany,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
selectManyObserver,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
select_switch,http://reactivex.io/documentation/operators/switch.html,Switch,,switch_on_next,switchOnNext,switchOnNext,switchOnNext; switchOnNextDelayError,switch,switchOnNext,Switch,switch; switchFirst,exclusive; select_switch; switch_latest,latest,switch,switchLatest
selectSwitch,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
selectSwitchFirst,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
selectWithMaxConcurrent,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
select_with_index,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
seq,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
SequenceEqual,http://reactivex.io/documentation/operators/sequenceequal.html,SequenceEqual,,,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,AssertEqual; SequenceEqual,,sequence_equal,sequence_eql?,sequenceEqual; sequenceEqualWith,
sequence_eql?,http://reactivex.io/documentation/operators/sequenceequal.html,SequenceEqual,,,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,AssertEqual; SequenceEqual,,sequence_equal,sequence_eql?,sequenceEqual; sequenceEqualWith,
SequenceEqualWith,http://reactivex.io/documentation/operators/sequenceequal.html,SequenceEqual,,,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,sequenceEqual,AssertEqual; SequenceEqual,,sequence_equal,sequence_eql?,sequenceEqual; sequenceEqualWith,
Serialize,http://reactivex.io/documentation/operators/serialize.html,Serialize,serialize,,serialize,serialize,serialize,,serialize,Synchronize,,,sychronize,serialize,
share,http://reactivex.io/documentation/operators/refcount.html,RefCount,,publish,refCount; share,refCount; share,share,refCount; share; shareValue,refCount; share,RefCount,share; singleInstance; shareValue,ref_count,,refCount; share,refCount
shareReplay,http://reactivex.io/documentation/operators/replay.html,Replay,cache,publish_synchronized; replay,replay; cache,cache; replay,cache; replay,replay; shareReplay,replay; cache,Replay,replay; shareReplay,replay,,replay; cache,replay; shareReplay
shareValue,http://reactivex.io/documentation/operators/refcount.html,RefCount,,publish,refCount; share,refCount; share,share,refCount; share; shareValue,refCount; share,RefCount,share; singleInstance; shareValue,ref_count,,refCount; share,refCount
Single,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
singleElement,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
SingleOrDefault,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
singleOption,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
singleOrElse,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
size,http://reactivex.io/documentation/operators/count.html,Count,count; longCount,count,count; countLong,count; countLong,,count,count,Count; LongCount,count,count,count,count; length; longCount; size,
Skip,http://reactivex.io/documentation/operators/skip.html,Skip,drop,skip,skip,skip,skip,skip; skipUntilWithTime,skip,Skip,skip,skip; skip_with_time,skip,drop,skip
SkipLast,http://reactivex.io/documentation/operators/skiplast.html,SkipLast,,,skipLast,skipLast,skipLast,skipLast; skipLastWithTime,skipLast,SkipLast,skipLast,skip_last; skip_last_with_time,skip_last,dropRight,
skipLastWithTime,http://reactivex.io/documentation/operators/skiplast.html,SkipLast,,,skipLast,skipLast,skipLast,skipLast; skipLastWithTime,skipLast,SkipLast,skipLast,skip_last; skip_last_with_time,skip_last,dropRight,
SkipUntil,http://reactivex.io/documentation/operators/skipuntil.html,SkipUntil,,skip_until,skipUntil,skipUntil,skipUntil,skipUntil,skipUntil,SkipUntil,skipUntil,skipUntil; skipUntil_with_time,skipUntil,dropUntil,skipUntil
skipUntilWithTime,http://reactivex.io/documentation/operators/skipuntil.html,SkipUntil,,skip_until,skipUntil,skipUntil,skipUntil,skipUntil,skipUntil,SkipUntil,skipUntil,skipUntil; skipUntil_with_time,skipUntil,dropUntil,skipUntil
SkipWhile,http://reactivex.io/documentation/operators/skipwhile.html,SkipWhile,drop-while,,skipWhile,skipWhile,skipWhile,skipWhile,skipWhile,SkipWhile,skipWhile; skipWhileWithIndex,skip_while,skip_while; skip_while_with_index,dropWhile,skipWhile; skipWhileWithIndex
skipWhileWithIndex,http://reactivex.io/documentation/operators/skipwhile.html,SkipWhile,drop-while,,skipWhile,skipWhile,skipWhile,skipWhile,skipWhile,SkipWhile,skipWhile; skipWhileWithIndex,skip_while,skip_while; skip_while_with_index,dropWhile,skipWhile; skipWhileWithIndex
skip_with_time,http://reactivex.io/documentation/operators/skip.html,Skip,drop,skip,skip,skip,skip,skip; skipUntilWithTime,skip,Skip,skip,skip; skip_with_time,skip,drop,skip
slice,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
sliding,http://reactivex.io/documentation/operators/window.html,Window,partition-all,window; window_with_time; window_with_time_or_count,window,window,window,window; windowWithCount; windowWithTime; windowWithTimeOrCount,window,Window,,window; window_with_count; window_with_time; window_with_time_or_count,window_with_count,sliding; tumbling,window
slidingBuffer,http://reactivex.io/documentation/operators/buffer.html,Buffer,,buffer; pairwise,buffer,buffer,buffer,buffer; bufferWithCount; bufferWithTime; bufferWithTimeOrCount,buffer,Buffer,bufferWithCount,buffer; buffer_with_count; buffer_with_time; buffer_with_time_or_count; pairwise,buffer_with_count; buffer_with_time,slidingBuffer; tumblingBuffer,buffer
some,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
